english	manx_translations
Grandmother's Enclosure	Close Warree
Grandmother's Hill	Cronk Warree
grand opera	kiaulldramey mooar
Grandson's Hillock	Crongan O
Granite Mountain	Slieau ny Glagh
Granny's Croft	Croit Granny
Grant's Harbour	Purt Grant
granular ice	rio grineagh
grape hyacinth	gleiy vuc feeyney
graphical representation	tuarastyl kern-yallooagh
grappling iron	yiarn greimmee
grasp clumsily	clamey
L. foenum	cur lhieen er y thoar; cur thalloo fo faiyr; faiyr
grass widower	breck-ghooinney treoghe
Gravelly Bank	Ayrey
Graves' Field	Magher ny h'Oaieghyn
gravitational force	forsey; stoo
grease nipple	sheeiney smarrey
greasiness of sheep wool	sholl
Great Barrier Reef	Rinn Vooar
great crested grebe	greeb kereenagh
Great Dane	moddey Danvargagh
Great Datacentre	Ynnyd-fysseree mie er bashtal
great diving beetle	deyll-ushtey vooar
Great Enquest	Ving Vooar
greater fleabane	bossan jargan; lus y chartan; lus y taghys
greater reedmace	bossan doo; quiggal ny ben-shee
greater salad-burnet	lus vooar yn aile
greater stitchwort	lhieen ny ferrishyn
greater yellowlegs	goblan buigh
greatest preoccupation	currym smessey ec
great masterwort	flee vooar
great mullein	cainle Woirrey
great mussel	gob mooar
great northern diver	arrag vooar; thummeyder mooar
Great Raven's Nest	Edd Feeagh Vooar
Great Shieling	Eary Mooar
great spearwort	lus ny binjey
great starwort	lhieen ny ferrishyn
great willow-herb	lus y Trinaid
great woodrush	leaghyr cheylley
Greek Cypriot	Kypragh Greagagh
green bacon	bagoon gyn lhiasaghey
greengrocer's shop	shapp glassreeyn
Greenland falcon	shawk Loghlynagh
Greenland laver	sluggane
Green Manured Field	Toar Ghlass
green pea	pishyr ghlass
green sandpiper	looyran mooar; leayrane geayney
Green Shieling	Eary Glass
Green Shrubbery	Garee Ghlass
Greensills Corner	Corneil Greensill
Green Sward	Fank; Foaid Glass
Gregorian chant	kiaulleeaght ny h-Agglish
Grettir Farm Enclosure	Close Grest
Grettir's Farm	Grest
Grettir's Farm Croft	Croit Grest
Gretti's Farm	Gretch
Gretti's Lower Farm	Grettest Heese
grey catbird	kayteean lheeah
grey-cheeked thrush	treshlen ghlass-lieckanagh
grey gurnard	captan glass; crodane; crodane glass
Grey Lakelet	Loghan Glass
grey lichen	scryss lheeah
grey mullet	lunnag; mullad glass
Grey Shrubbery	Garee Lheeah
grey-tailed tattler	leayrane famman lheeah
grid leak	skeiy ghreilley
grid on map	ingagh
grievious pain	pian vooar
griffon vulture	bultoor griffag
grim countenance	gruaie
Grim Reaper	Baase
Grimshaw's Croft	Croit Grimshaw
grizzly bear	maghauin lheeah; mucawin-mollagh
grog blossom	jirgid stronney
Groudle Glen	Glion Ghroudal
Groudle Glen Cottages	Cottyn Glion Ghroudal
Groudle Glen Santa Trains	Traenyn Jishig y Nollick Glion Ghroudal
Groudle View	Reayrt Ghroudal
ground controller	stiureyder thallooin
ground zero	neunhee thallooin
group manufacturing division	fo-rheynn jantys-possan
Gubbon's Croft	Croit Gubbon
gudgeon pin	freeney ghudjyn
guelder rose	thramman sniaghtee; tramman ushtey
guerilla war	caggey cheerey; caggey keylley
guided missile	tilgane stiurit
dt's Redstart	Thoyn-yiarg G; ldenst
gull-billed tern	sternag ghob-doo
Gulls' Croft	Croit ny Voillan
Gulls' Meadow	Lheannee Voillan
Gull's Rock	Creg yn Oillan
Gull's Shore	Traie ny Foillan; Traie ny Voillan
gum acacia	gum arabagh
gum sandarac	rosin sandarac
Gunpowder Plot	Cochialg yn Phoodyr
Gushing Well	Chibbyr Skeah
Gusset Fold	Bwoaillee ny Gussad
Gusset Hill	Cronk Gussad
Guthrie's Memorial	Carn Guthrie
Gutter Field	Maghey y Guttyr
gutter press	pabyr-naight laaghagh
guttpock herring	skeddan gailley
guy rope	tead stiuree
gym shoe	braag lheiltys; kittys
gypsum quarry	quarral gypsum
habeas corpus	cur yn corp; screeuyn leigh y chorp
habitual aspect	grooish chliaghtagh
hackney carriage	carriads faillee
Haering's Farm	Orrisdale
Hags' Hollow	Lag ny Cailleeyn
hailing from	ass; Ship hailing from London
Hailwood Avenue	Astyl Hailwood
Hailwood's Rise	Ughtagh Hailwood
hairless face	eddin lhome
hairless hide	sheh fannit
hair mattress	matras geaysh
hairpin bend	lhoob geyre; lhoob giare
hair's breadth	lheead renaig
hair trigger	fo ghlass
hair-trigger lock	glass dooblit
hairy rock cress	burley garroo
hairy vetch	pishyr gharroo; pishyr yn arroo
Halcyon days	laghyn kiuney; kiune; meein
Half a sec	Tannee shallid
half-castrated ram	riggyl
half-grown pig	boannoo
che Shamhna	Oie Houney
halogen group	possan hallageenagh
Halsall's Flat	Faaie Halsall
Halsall's Hill	Cronk Halsall
Halsall's Shore	Traie ny Halsall
hammerhead shark	sharkagh kione oard
Hampton Farm	Balley Hontyn; Balley Huntan
Hampton's Court	Cooyrt Hampton
Hampton's Croft	Croit Hampton
Hampton's Road	Bayr Huntan
hand camera	shamraig laue
hand grenade	grenaid laue
hand-held computer	co-earrooder laue
Handley's Corner	Corneil Handley
hanging and quartering	croghey as tayrn
Hango Hill	Cronk y Chrogeree; Cronk y Chroghee
Haraldr's Slope	Horalett
Harcroft Meadow	Lheeannee Harcroft
Harcroft Road	Raad Harcroft
hard disk	jysk creoi
hard taskmaster	mainshtyr geyre
Hare's Croft	Croit Waagh
hare's ear	cleaysh woie
hare's foot	lus ny mwoie
hare's foot clover	cass mwaaee
hare's tail	cannagh
haricot mutton	feill cheyrragh phoanragh
harlequin duck	thunnag vreck; laagh Eeslynnagh
harpy eagle	urley raipagh
Harra's Farm	Balley Harra
Harra's Old Farm	Shenn Valley Harra
Harrison's Farm	Balley Kinry; Balley Harrison
Harris tweed	clo Harragh
Harry Sayle's Croft	Croit Harry Sayle
Harry's Croft	Croit Harry
Harry's Mill	Mwyllin Harry
hart's tongue	renniagh feeaih
hash up	aachummey
Hassna's Farm	Balley Hassna
haulage contractor	ymmyrkagh
Hauldry's Fold	Bwoaillee Hauldry
Hawaiian Islands	Ellanyn Hawaii
Hawk's Cliff	Wallberry
hawser pipe	feddan caabyl
Hay Enclosure	Close ny Traagh
headphones with intergrated microphone	cleayshane lesh co-veealag
heart valve	cooylley-chree
heat apoplexy	builley-hiass
ir. fraoch	freoagh; New heather; conney freoaie
Heather Enclosure	Ling Close; Close Freoaie; Close Ling
Heather Knoll	Cor Freoaie
Heathfield Drive	Imman Magher Freoaie
heath milkwort	lus y vainney
heath pea	pishyr sleitagh
heath stitchwort	lus y toar villish
heat insulator	chiass-jeeneyder
heat of fusion	hiass co-lheie
heat of vaporization	hiass; gaalee
heaving line	tead tayrn; tead tayrnee
heavy browed	trome-volleeagh
heavy flannel	kialter
heavy fleeced sheep	keyrrey vollagh
heavy jawed	trome-cheeillagh
Hedge Enclosure	Close ny Cleigh
Hedge of the Ramparts	Cleigh ny n'Arraghyn
hedge pink	lus y cheeabin
hedge woundwort	lus y lhott
hedging bill	corran chleiyee
he is	t'eh; He is mouldering in idleness/
Helmholtz energy	bree Helmholtz
hemp agrimony	jeshal
hempen rope	tead kennipey
hen harrier	shirragh ny giark
henhead knot	cront kione kirkey
Heni's Pasture	Hentrae
Henry's Farm Hill	Cronk Balley Kinry
herbaceous border	chemmal lussagh
Herbert's Rock	Clett Herby
Heritage railways	Raaidyn Yiarn yn Eiraght
Her Ladyship	Ven Chiarn
herring-bone stitch	whaaley frangagh
herring hog	perkin vooar
Hertzian waves	tonnyn Hertz
Hestine's Farm	Balley Hestine
hexagonal nut	cro shey-lhiatteeagh
Heywood's Bridge	Droghad Heywood
Hick's Farm	Balley Hick
hide sandal	carrane
Higgin's Croft	Croit Higgin
High Briery Place	Ard Ghressagh
high browed	gruaie-lhean
high-church service	shirveish ard-cheeill
high explosive	trean-vleaystagh
high explosive shell	shliggan trean-vleaystagh
high jinks	ard-chloie
High Lakelet	Ard Loughan
Highland Clearances	Skeayley ny Gaeil; Skeaylley ny Gaeil
Highlands and Islands Enterprise	Ventyrys y Ghaeltaght
highlighter pen	penn-soilshee
highly strung	naeragagh
high-peaked hat	edd birragh
high priced	ard ayns leagh
High Shieling	Ard Eary
high tariff walls	ard-choadey keeshagh
high tension	ard-voltys
high voltage	ard-voltagh; ard-voltys
Highway Code	Reill ny Raaidyn Mooar; Reillyn Raaidey
Hillberry Close	Close Cronk y Berry
Hillberry Heights	Ardjyn Cronk y Berry
Hillcroft Rise	Crongan Croit y Chronk
Hillock Enclosure	Close ny Nappan
Hillocks' Fold	Bwoaillee ny Gronkan
Hill of Abban's Church	Cronk Keeill Abban
Hill of Contest	Knock y Troddan
Hill of the Chieftain	Cronk y Toshee
Hill of the Distaff	Cronk ny Quiggal
Hill of the Hangman	Cronk y Chrogherey
Hill of the Kist	Cronk Koir
Hill of the Turbary	Knock ny Moaney
Hill of Vespers	Cronk Asbyrt
Hillside Croft	Croit ny Liargee
Hillside Farm	Balley ny Liargee
Hilltop Rise	Crongan Mullagh y Chronk
Hilltop View	Reayrt Mullagh y Chronk
hired killer	dunver failt
historic national identity	shenn jarroo-enney ashoonagh
hi-tech industries	jeadyssyn ard-; hagh
hoary willow-herb	lus ny shellee
hockey ball	crig
hockey stick	cammag; maidjey hockee
Hogell's Farm	Balley Huggal
Hogg's Croft	Croit Hogg
hog mane	mwing vaarit
hoi polloi	theay
hoisting engine	jeshaght hroggalagh
hoisting shaft	towl troggee
hoist up	crappey seose; troggal; yrjaghey
holiday accommodation	aaght-turrysagh
Hollandtide Eve	Oie Houney
Holly Shrubbery	Garee Hollin
Holmfield Close	Close yn Aaie
Holmfield Road	Raad yn Aaie
Holt's Hill	Ashole
Holy Grail	Grail Casherick
Holy Innocents	Maccan; Neufoiljee Casherick
holy rood	crosh casherick Chreest; crosh chasherick Chreest; maidjey chroshey
Holy Sacrement	Shibbyr y Chiarn
holy writ	scriptyr noo; scriptyryn noo
home-brewed ale	lhune thie
home handyman	coamreyder thie
Home's Enclosure	Close Home
Homestead Dale	Boayldyn
Home Utilities	Shirveishyn Thie
homologous chromosomes	kroymasoomyn homologagh
honeyed words	focklyn millish; focklyn milljey
honorary doctorate	doghtooraght onnoragh
hooded merganser	sheeltey choghyl
Hood's Pool	Poyll Hood
hoofed animal	crubbagh
hop grower	troggeyder lus y lhionney
hop trefoil	shamrag wuigh
horizontal axis	essylys cochruinnagh
horned poppy	barrag wuigh
hornless bull	tarroo meayll
hornless cow	booa veayll; meayllee
hors d'oeuvre	shleeuag
horse breeder	troggeyder cabbil
horsedrawn coach	fainagh cabbil
Horse Enclosure	Close y Cabbyl
horse leech	guillag chabbil; jiollag chabbil
horse mussel	gob dhone
horse pannier	murlhin chabbyl
horse pistol	pistyl markee
horse radish	raghyl feie
Horses' Enclosure	Close ny Gabbil
Horses' Lakelet	Loughan ny Gabbil
Horse's Rock	Creg y Chabbyl
Horses' Shrubbery	Garee ny Gabbil
horse's tail hair	geaysh; geaysht
hosiery work	obbyr oashyragh
Hospice Isle of Man	Spittal Vannin
hot air balloon	mollag aeragh
Hot Pie Cabinet	Coyr Pyaghyn Cheh
Houbara bustard	bustart Houbara
hound's tongue	chengey ny moddee
House Hill Shrubbery	Garee Cronk y Thie
Household Cleaners	Glenneyderyn Thie
housemaid's knee	glioonjys
housing review	scrutaght-thieys
how charming	s'cleaynoil; s'taitnyssagh
H.P. agreement	conaant maillee
Hudgeon's Croft	Croit Hudgeon
Hudsonian godwit	gob-kiare Hudson
hue and cry	yllagh as eam
Hugh's Hollow	Coan Hughey
hulking boy	glashtin
Hullo everybody	She nyn mea diu ooilley
human factor	cheu deiney
human immunodeficiency virus	veerys genney jeenaght sheelnaue; veerys genney ym-yeenaght sheelnaue
Human Resource Manager	Reireyder-skimmee
Human Resource Section	Fo-Rheynn Skimmee
humming and hawing	thittal
humpbacked person	cruitin
Humped Fold	Bwoaillee Cruitee
Hunter's Field	Magher Hunter
hunter's net	lhieen shelgeyragh
hunter's staff	lorg shelgeyragh
hurricane lamp	londeyr sterrym
hush money	argid tostid
hush up	mooghey; oanluckey
Hutchin's Big Cairn	Carn Mooar Hutchin
Hutchin's Farm	Balley Hutchin
hydraulic engineering	jeshaghtys ushtey-obbragh
hydrocarbon oil	ooill hydrocarbon
hydrochloric acid	geayr hiddracloaragh; spyrryd buigh
hydroelectric power	niart ny glionteenyn; niart ushtey-lectragh; pooar ushtey-lectragh
hydrogen peroxide	sarocseed heedrageen
Hydro Station	Stashoon Pooar-ushtey
Hymyn's Point	Gob ny Gimmryn
hyperbaric chamber	killag-hraastee; killagh broo ard
hypodermic injection	tilgey fochrackanagh
hypodermic needle	snaid fo-chrackanagh
hypodermic syringe	gunn fo-chrackanagh
DF idiom	mee; Am I not at home?; mish
I am	mish; I am God Almighty; Bible
ice creams	riojagyn; Get me a bucket of ice cream to make ice creams9
ice floe	floddan rioee
ice hockey	cammag rio
ice lolly	kibbin millish
ice rink	rio-rinck
ICT Adviser	Coyrlagh CFC
icterine warbler	kiaulleyder airhey
ICT Office	Offish CFC
ICT Support Team	Skimmee-Pohlldal FChCh
idle pulley	ullag hreoragh
if it be	My she shen
ignis fatuus	chenney cheabane; foaddan curree
ignition coil	caslagh lossee
ignition key	ogher lossee
ill-conceived recommendations	moyllaghyn drogh-resoonit
ill intentioned	roonagh
ill-natured person	scryss
ill-natured woman	beeataig
ill repute	drogh-ennym
illuminated sign	fogrey soilshit
immature conger	whipp
immature cormorant	hulp; hulpin
immature deer	minjeig
immature eel	snigg
immature guillemot	gyubb
immature gull	gubb; gubbon
immature hairless rat	jarganagh
immature ling	donnag
immature lobster	parick
immature male blackbird	apryn doo; dooag
immersion heater	thum-hiasseyder
impedance coil	caslag chastys
impedimenta of war	eillaghyn-caggee
impersonal verb	breear neuphersoonagh
impertinent person	perkin
implicit faith	credjue veih'n chree
importunate person	lhiannan; sheer-voireyder
improper fraction	lhiass-chorrillagh
improperly castrated ram	riggyl
in abeyance	currit ry-lhiattee; faagit rish tammylt; lhie
inactive spiritless creature	drollane
in a dilemma	eddyr daa aile Boaldyn; He was in a dilemma
inalienable right	cair neuchaghlaaee
inarticulate masses	pobbyl balloo
inarticulate word	fockle do-hoiggal; fockle plooghit
in a trice	ayns meekey-sooilley
in camera	ayns quaiyl ghooint; ayns shamyr ghooint; dy follit
incidental expenses	fo feeaghyn; fo-red
incipient signs	cowraghyn toshee
in comparision of	ayns cosoyllaghey jeh; For look how high the heaven is in comparison of the earthD; n thalloo
in concealment	cleaght; cooyl chlea; keiltynys
in contiguity	sheeyney lesh; sheeyney rish
Incorporated Cell Companies Act	Slattys Sheshaghtyn-dellal Calley Cochorpit
indecent exposure	anchoodaghey neu-ghlen; lhoamid neu-ghlen; rooishtid anchooie
indefinite article	art neuhoilshaghey
Indefinite Leave to Remain	Kied dy Hannaghtyn
indelible pencil	pensyl doscryssit
independent consultant	coyrlagh neu-chrogheydagh
indicative mood	mod jeeragh
indicative referendum	refrane cowreydagh
indicted by grand jury	faagit mooie
indigo bunting	pompee phlooreenagh
indispensable things	nheeghyn femoil; nheeghyn ymmyrchagh
indolent person	drammag; drollane; lhiggey my hraa
inductance coil	caslag indughtysh
induction coil	caslag indughtee
induction pipe	piob ynsooeeagh
inductive reasoning	resoonaght indughtagh
industrial espionage	peeikearys chynskylagh
industrial merger	covestey chynskylagh
industrial unrest	boirey chynskylagh
inedible fish	scran
inertial navigation	stiureydys taaueagh
infantile paralysis	neulheiltys lhiannooagh; neulheiltys oikanagh
infant prodigy	paitchey yindyssagh
infectious disease	gorley gowaltagh
infertile egg	ooh lhearee
inflammatory words	goan greesaghey
inflow pipe	piob soo stiagh
Information Systems Division	Fo-rheynn Coaryssyn Fysseree
infra dig	jannoo beg jeh hene
Ingi's Slope	Injebreck
ingoing tenant	tannys noa
ingot of gold	caag airh
in it	aynsyn
initial letter	kione-lettyr
initial mutation	ceaghley toshee
initial repairs	karraghyn-toshee
initial sound change	caghlaa sheeanyn ec toshiaght goan
ink cartridge	cartoose-doo
Inlet of the Geese	Gullad ny Guiy
in limbo	'sy phryssoon
in me	aynym; aynyms
in narrow strips	skilleigagh
Inner Enclosure	Close Sthie
Innocents' Day	Laa'l ny Mackan
inorganic chemistry	kemmig neuorgaanagh
in parenthesis	eddyr lhoobeenyn
in perpetuity	son dy bragh
in preference to me	roym
inquisitive person	feyshteyder
Insects' Ground	Thalloo ny Beishteig
inspection pit	slogh ronsee
Inspector of Works	Scruteyr Obbraghyn
Institute of Directors	Undinys ny Stiureyderyn
insular mind	aigney coon
insurance intermediaries	fir-veanagh urrysaght
integral calculus	calghoolys; co-hymagh
integral value	mooadys slane earrooagh
intellectual endowment	keeal vayrey
intensive care unit	boayl kiarail yeean
interesting challenge	doolane anaasagh
interest payer	bishagh; okyr; parteeas
intergovernmental agreement	coardail eddyr-reiltyssagh
Intergovernmental Panel	Panel Eddyr-reiltyssagh
interim report	tuarastyl shallidagh
interior decorator	jesheeneyder shamyr
intermediate filament	meansnaie
internal combustion	lostee yn-veanagh
internal combustion engine	jeshaght lostee yn-veanagh
international standards	stundayrtyn eddyrashoonagh
International Year of Astronomy	Blein Eddyr-ashoonagh Rollageydys
interrupted cadence	dooney brisht
interstellar travel	rollage-hroailtys
intestate estate	steat neuhymnagh
intestate person	neuhymnagh
in the daytime	'sy laa
in the forenoon	'sy voghrey
in the interim	eddyr y daa lhing
in the intestine	'sy vinnagh
in the vocative	'sy gherrymagh
intimately acquainted	mynoayllagh rish; oayllagh rish
in transit	fo-raad
intransitive verb	breear neuchaghlaaee
in true perspective	dy kiart
in twelvemonth future	blein voish nish
in us	ayndooin; aynin; ayninyn
invalid name	ennym gyn bree
inversely proportional	ayns coreir contraartagh
inverse ratio	coymmys ynvaartit
inverted commas	heose-chammogeyn
investors in people	lhiaseyderyn skimmee
Investors Services	Shirveishyn Baiheyderyn-argid
inveterate gambler	sheer-charrooagh
IOM HIV Support Group	Possan Coonee HIV Vannin
Irish bagpipes	phiob Yernagh
Irishman's Gap	Barney Nerinagh
Irishman's Road	Bayr ny Nerinagh
Irishmen's Croft	Croit ny Erinee
iron filings	joan yiarn; myn-yiarn
iron paling	radling yiarn
iron ration	lowanse eginagh
irreconcilable hatred	jiarg-ghrayn
irregular breeze	fan-gheay; fannan; flan
irreversible accomplishment	nhee er ny jannoo
irritably sick	nash-ching
Isabelline shrike	buit; hoor bane-buigh
Isabelline wheatear	thoyn-vane gheinnee
Island Enclosure	Close yn Ellan
Isle of Coll	Ellan Colley
Isle of Man Advanced Motorcyclists	Ard-varkee Roar-bree Ellan Vannin
Isle of Man Advanced Motorists	Ard-gleashtaneyryn Ellan Vannin
Isle of Man Aero-Medical Society	Sheshaght cour Lheihys Aeragh Ellan Vannin
Isle of Man Astronomical Society	Sheshaght Rollageydys Vannin
Isle of Man Branch of NFU Mutual	Banglane Vannin NFU Mutual
Isle of Man Branding Project	Shalee-chowree Vannin
Isle of Man Charity Lottery	Cronghyr Giastyllagh Ellan Vannin
Isle of Man Constabulary	Meoiryn-Shee Ellan Vannin; Meoiryn-shee Vannin
Isle of Man Fishermen's Association	Sheshaght Eeasteyryn Vannin
Isle of Man Government Brussels Office	Oik Reiltys Ellan Vannin ayns Brussels
Isle of Man Heritage Railways	Raaidyn Yiarn Eiraght Ellan Vannnin
Isle of Man Passport Application	Shirrey Kied-Troailt Manninagh
Isle of Man Police Consultative Forum	Forym-Coyrlee Meoiryn-Shee Vannin
Isle of Man Prison and Probation Service	Shirveish Pryssoon as Prowal Kyndee Ellan Vannin
Isle of Man Probation Service	Shirveish Prowal Kyndee Ellan Vannin
Isle of Man Seafoods	Bee-marrey Vannin
Isle of Man Taekwondo Association	Sheshaght Taekwondo Ellan Vannin
Isle of Man Tourism	Turrysid Ellan Vannin
Isle of Man Victorian Society	Sheshaght Victorianagh Vannin
Isle of Wight	Ellan Eeaght
isolating language	hengey scarreydagh
isolation hospital	thie lhehlysh
isosceles triangle	troorane cochassagh
Issac's Farm	Balley Isaag
Issac's Farm Flat	Faaie Valley Saig
it is	behold, it is between Kadesh and Bered&; Bible
it is so	shen myr t'eh; I know it is so of a truth,; Bible
I.T. University	Ollooscoill; haghnoaylleeaght Fysseree
Ivar's Farm	Jurby
Ivor's Cross	Crosh Ivor
Ivy Dene	Glionnan Hibbin
ivy-leafed crowfoot	lhieen ny hawin
I ween	sheilym
Jack's Croft	Croit Yack
Jack's Farm	Balley Yack
Jane Jack's Croft	Croit Yane Yack
Jane's Headland	Gob y Jane
Jane's Hill	Cronk y Jane
Jane's Well	Chibbyr y Jane
Janet's Road	Bayr Janet
jaunting car	carr cleeahnagh
jazz band	snagvanney
Jehovah's Witness	Feanish Yahvey
Jemmy's Division	Rheynn Yemmy
jenny nettles	undaagagh
jenny wren	drean bwoirrin
Jerusalem artichoke	blaa greiney; praase greiney; praase rangagh
jet black	deyll-ghoo
jet engine	jeshaght skiootagh
jet plane	etlan skiootagh; skioot etlan
jet propulsion	skioot imman
jet stream	skioot-stroo
jeweller's rouge	jiarg-phoodyr
jib boom	croan spreie
Jim Mat's Field	Magher Jim Mat
Jobseeker's Allowance	Lowanse Shirreyder Startey
Jockey's Croft	Croit Yokey
Joe's Division	Rheynn y Joe
Joe's Long Field	Magher Liauyr Jo
Joey's Milestone	Clagh Veeilley Joey
jog along	halkal roish; vroddal roish
John Barleycorn	soo ny braih; soo ny hoarn
John Bessie's Croft	Croit Yuan Vess
John Crow's Croft	Croit Yuan Crow
John Dory	Juan Gorree; Juan Joarree
John Home's Croft	Croit John Home
John Jack's Glen	Glion Yuan Jack
Johnny's Croft	Croit Yohnny
Johnny's Field	Magher Johnny
Johnny Willie's Hill	Cronk Johnny Willie
John Teare's Croft	Croit Juan Teare
John Tom's Hollow	Coan Yuan Hom
joiner's shop	shamyr heyir
joint secretaryship	coscreeudeyrys
jolly boat	baatey lhuingey
Jolly good show	Awatta; Ouwatta
Jolly Roger	brattagh doo
Jonee's Farm	Balley Yonee
joss house	chiamble Sheenagh
joss stick	kibbin thooishey
jostle against	woalley noi
Joughin's Croft	Croit Joughin
journeyman joiner	seyr er faill
juke box	kishtey kiaullee
Julian Road	Raad Julian
Julian year	blein Yool
jumble sale	cant mollid; creck mollid
jutting out	deamey
juvenile delinquency	kyndagh aeglagh; kyndaght aeglagh; loghtynid aegid
juvenile delinquent	drogh-eean; kyndagh aeg
juvenile delinquents	loghtee aegey
Kaighen's Farm	Balley Kaighen
Kaighin's Croft	Croit y Kaighin
Kaighin's Ground	Thalloo Kaighin
Kaighin's Road	Bayr y Kaighin
Kallow Point	Gob ny Caillee
Kaneen's Farm	Balley Kaneen
Kappi's Mountain	Keppel
Karran's Croft	Croit y Karran
Karran's Farm	Balley Carin
Karran's Shore	Traie Carran
Karron's Enclosure	Close y Karran
Kate's Cottage	Croit Tate; Croit Chatreeney
Kate's Shrubbery	Garee Kate
Kaye's Meadow	Lheannee Kaye
Kay's Croft	Croit Kay
Kay's Farm	Ellan y Kay
keep aloof	freill magh
keep vigil	farrarey
Kee's Enclosure	Close y Kee
Keggin's Farm	Balley Keggin
Keig's Croft	Croit y Keig; Croit Keig
Keig's Farm	Bymaughaig
Kellue's Shieling	Eary Kellue
Kelly's Croft	Croit y Kelly
Kelly's Enclosure	Close y Kelly; Close Kelly
Kelly's Farm	Balley Kelly
Kelly's Field	Magher Kelly
Kelly's Marsh	Curragh Kelly
Kelly's Mill	Mwyllin y Kelley
Kelly's New Enclosure	Close Noa y Kelly
Kelly's Shieling	Eary Kelly; Eary Kellag
Kelly's Sour Enclosure	Close Sooar y Kelly
Kelvin's Field	Magher Kelvin
Kenag's Farm	Balley Kinnag; Balley Kenag
Kenag's Farm Lake	Lough Balley Kinnag
Kenag's Fold	Bwoaillee Kinyag
Kennaugh's Marsh	Curragh Kennaugh
Kenneth's Church	Keeill Kenny
Kennish's Farm	Balley Kennish
Kennish's Girl's Croft	Croit Inney Kennish
Kentish plover	feddag chass ghoo
Keppel Gate	Giat Keppel
Kerd's Glen	Glion Kerd
Kerd's Quarter	Kerroo Kerd
Kermeen's Croft	Croit y Kermeen
Kermeen's Farm	Balley Kermeen
Kermeen's Fold Hollow	Lhag Woaillee Kermeen
kernel of the matter	cree ny cooish
Kerruish's Croft	Croit Kerruish; Kerry
Ir. Ciarra	Kerree
kettle drummer	drummeyder cabbil
Kewe's Mill	Mwyllin y Kew
Kewe's Place	Kew
Kewin's Croft	Croit y Kewin
Kewin's Enclosure	Close y Kewin
Kewin's Farm	Balley Kewin
Kewish's Croft	Croit y Kewish
Kewish's Farm	Balley Kewish
Kewish's Flat	Faaie Balley Kewish
Kewley's Rock	Carrick y Kewley
Kewne's Enclosure	Close y Kewne
Kewne's Turbary	Moanee Kewne
Kewney's Croft	Croit y Kewney
Kewney's Enclosure	Close Kewney
Kew's Farm	Balley Kew
Kew's Field	Magher y Kew
Keyll Darree Library	Lioarlann Cheyll Darree
Key's Farm	Balley Key
kicky mare	laair vrebbagh
kidney vetch	meir-Voirrey
Kie's Enclosure	Close y Key
Killey's Croft	Croit y Killey; Croit Killey
Killey's Fold Farm	Balley Woaillee Killey
Killey's Girl's Croft	Croit Inney Killey
Killey's Scrub Flat	Faaie Garee Killey
Killip's Enclosure	Close y Killip; Close Killip
Killip's Gate	Giat Killip
Killip's Road	Giat Killip
Kill's Mountain Farm	Balley Kill y Clieau
Kiln Enclosure	Close ny Brebag
King Orree's Castle	Cashtal Ree Gorree
king ragworm	jialgane mooar; jialgane y ree
King's Enclosure	Commissary
Kingswood Grove	Keyll y Ree; King William
Kinley's Bridge	Droghad Kinley
Kinley's Crofts	Croityn Kinley
Kinnish's Farm	Balley Kinnish
Kinry's Shrubbery	Garee Kinry
Kinry's Tomb	Lhiaght y Kinry
Kirk Conchan	Skyll Connaghan
Kirk Santan	Skylley Stondane
Kirree's Enclosure	Close y Kirree
Kissack's Croft	Croit y Kissack
Kissack's Enclosure	Close y Kissack
Kissack's Farm	Balley Kissack
kitchen utensils	greieyn aarlee
kite balloon	balloon etlag
Kittiwake Crescent	Corran Pirragh
Kitty's Field	Magher Kitty
Kleppr's Farm	Clepps
Kneale's Enclosure	Close Kneale
Kneale's Farm	Balley Kneale
Kneale's Hill	Knock Kneale; Cronk y Creale
Kneale's Rock	Creg y Creale
kneeling cushion	boss
Kneen's Croft	Croit y Kneen; Croit y Creen
Kneen's Enclosure	Close Kneen; Close Crine
Kneen's Meadow	Lheannee Kneen
Kneen's Road	Bayr Kneen
Knight's Croft	Croit Knight
Knights Templars	Reejeryn chiamblagh
knockdown blow	tarnoal
Knock Froy	Knock Freoaie
Knoll Farm	Balley Cronk
Koli's Farm	Colby
Koli's Farm Pasture	Pairk Colby
Kolli's Farm	Colby
Kori's Slope	Cor Breck
Kraun's Big Valley	Cranstal Vooar
Kraun's Dale Enclosure	Close Cronstal
Kraun's Valley	Cranstal
Kraun's Valley Bridge	Droghad Cranstal
Kraun's Valley Harbour	Purt Cranstal
Kraun's Valley Lake	Lough Cranstal
per's Nuthatch	Scoltan Turkagh
Kyles of Bute	Keeylys Boadagh
Kym's Croft	Croit y Kymmey
Kym's Hill	Cronk y Chymmey
Laburnum Road	Raad Laburnum
lace-up shoes	braagyn yeeallagh
lack of precision	neuchruinnys
ladies' man	myrneen mreih
ladies' toilet	premmee mraane
Lady Almoner	ben yeirkeydagh; Lady Amherst
s pheasant	kellagh keylley Amherst
lady's bedstraw	lus ny binjey mooar; lus y volley
lady's smock	lheiney Voirrey; losserey ny Boaldyn; lus ny Boaldyn
lagged pipes	piobyn soaillit
Lake Enclosure	Close y Lough
Lake End Enclosure	Close Kione Lough
Lambfell Glen	Glion Lammal
Lamyn's Farm	Balley Lamyn
Lancaster Road	Raad Lancaster
lance corporal	lhiass-chorpryl
